name,institution,course_id,media_rating,num_ratings
Excel Fundamentals for Data Analysis,Macquarie University,excel-data-analysis-fundamentals,4.587628865979381,291.0
Finanzas personales,Universidad Nacional Autónoma de México,finanzas-personales,4.809142318567389,6366.0
English Composition I,Duke University,english-composition,4.52760736196319,489.0
Career 911: Your Future Job in Medicine and Healthcare,Northwestern University,healthcarejobs,4.2727272727272725,33.0
Introduction to Self-Driving Cars,University of Toronto,intro-self-driving-cars,4.664870689655173,928.0
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,corporate-commercial-law-part1,4.842592592592593,324.0
Blockchain Basics,University at Buffalo,blockchain-basics,4.503150315031503,3333.0
Foundations of Business Strategy,University of Virginia,uva-darden-foundations-business-strategy,4.816616766467066,1336.0
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,ciencia-computacao-python-conceitos,4.843028624192059,3249.0
Stochastic processes,National Research University Higher School of Economics,stochasticprocesses,4.204081632653061,245.0
Foundations for Big Data Analysis with SQL,Cloudera,foundations-big-data-analysis-sql,4.80794701986755,453.0
"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,innovation-through-design,4.708860759493671,237.0
Perfect Tenses and Modals,"University of California, Irvine",perfect-tenses-modals,4.805797101449276,2070.0
Getting Started with Azure,LearnQuest,cloud-azure-intro,4.175182481751825,137.0
Moralities of Everyday Life,Yale University,moralities,4.8241525423728815,1416.0
Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,revisao-sistematica,4.903674280039722,1007.0
Understanding child development: from synapse to society,Utrecht University,child-development,4.636363636363637,132.0
Introduction to G Suite,Google Cloud,introduction-g-suite,4.631746031746032,945.0
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,aprendiendo-a-aprender,4.932333577176299,8202.0
Building Batch Data Pipelines on GCP,Google Cloud,batch-data-pipelines-gcp,4.36,375.0
Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,financial-planning,4.333333333333333,180.0
Quantitative Methods,University of Amsterdam,quantitative-methods,4.754978877489439,1657.0
"Introduction to Self-Determination Theory: An approach to motivation, development and wellness",University of Rochester,self-determination-theory,4.908163265306122,196.0
The Technology of Music Production,Berklee College of Music,technology-of-music-production,4.898222940226171,619.0
Code Yourself! An Introduction to Programming,The University of Edinburgh,intro-programming,4.810082063305979,1706.0
Success,University of Pennsylvania,wharton-success,4.929203539823009,678.0
Chemicals and Health,Johns Hopkins University,chemicals-health,4.857933579335794,542.0
Improving your statistical inferences,Eindhoven University of Technology,statistical-inferences,4.8860103626943,579.0
Fundamentals of Finance,University of Pennsylvania,finance-fundamentals,3.888888888888889,27.0
How Google does Machine Learning,Google Cloud,google-machine-learning,4.478352692713833,2841.0
Object-Oriented Design,University of Alberta,object-oriented-design,4.580684596577017,818.0
Introduction to Intellectual Property,University of Pennsylvania,introduction-intellectual-property,4.828054298642534,221.0
Cost and Economics in Pricing Strategy,BCG,uva-darden-bcg-pricing-strategy-cost-economics,4.823943661971831,284.0
Write A Feature Length Screenplay For Film Or Television,Michigan State University,write-a-feature-length-screenplay-for-film-or-television,4.666666666666667,90.0
Marketing Gerencial,Universidad de Chile,marketing-gerencial,4.723486951693504,1801.0
Corporate Finance Essentials,IESE Business School,corporate-finance-essentials,4.873889875666075,1689.0
Information Security: Context and Introduction,"Royal Holloway, University of London",information-security-data,4.669642857142857,1008.0
"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,trunk-anatomy,4.780612244897959,588.0
Introduction to CSS3,University of Michigan,introcss,4.80557398805574,4521.0
Applied Data Science Capstone,IBM,applied-data-science-capstone,4.533333333333333,1665.0
Introduction aux Droits de l’Homme,University of Geneva,droits-de-lhomme,4.887755102040816,1078.0
"Programming Languages, Part A",University of Washington,programming-languages,4.941765241128299,1099.0
Big History: Connecting Knowledge,Macquarie University,big-history,4.795246800731261,1094.0
Leadership in 21st Century Organizations,Copenhagen Business School,leadership-21st-century,4.774285714285714,700.0
Software Processes and Agile Practices,University of Alberta,software-processes-and-agile-practices,4.686161879895561,1915.0
DevOps Culture and Mindset,"University of California, Davis",devops-culture-and-mindset,4.824175824175824,182.0
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,introduction-statistics-data-analysis-public-health,4.67515923566879,471.0
Discrete Optimization,The University of Melbourne,discrete-optimization,4.833333333333333,360.0
Основы разработки на C++: белый пояс,Moscow Institute of Physics and Technology,c-plus-plus-white,4.756024096385542,996.0
COVID-19 Contact Tracing For Nursing Professionals,University of Houston,covid-19-contact-tracing-for-nursing-professionals,3.909090909090909,11.0
High Stakes Leadership: Leading in Times of Crisis,University of Michigan,high-stakes-leadership,4.777777777777778,81.0
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,epidemiology-tools,4.691780821917808,1314.0
Epigenetic Control of Gene Expression,The University of Melbourne,epigenetics,1.0,6.0
"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,recruiting-hiring-onboarding-employees,3.84375,576.0
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,aws-fundamentals-addressing-security-risk,4.162698412698413,756.0
Ancient Philosophy: Plato & His Predecessors,University of Pennsylvania,plato,4.135135135135135,222.0
Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,social-innovation,4.301204819277109,166.0
Spanish for Successful Communication in Healthcare Settings,Rice University,spanish-in-healthcare-settings,4.0,8.0
Leading transformations: Manage change,Macquarie University,change-management,4.3090909090909095,165.0
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),systems-engineering,4.775,240.0
Digital Marketing Analytics in Theory,University of Illinois at Urbana-Champaign,marketing-analytics,,
Data Visualization and Communication with Tableau,Duke University,analytics-tableau,,
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",mcmc-bayesian-statistics,4.804416403785489,317.0
Human Rights for Open Societies,Utrecht University,humanrights,4.811594202898551,207.0
Introduction to Computers and Office Productivity Software,The Hong Kong University of Science and Technology,introduction-to-computers-and-office-productivity-software,4.6,105.0
The Introduction to Quantum Computing,Saint Petersburg State University,quantum-computing-algorithms,3.3095238095238093,126.0
Intercultural Management,ESCP Business School,intercultural,4.313725490196078,153.0
Get Interactive: Practical Teaching with Technology,University of London,getinmooc,4.7631578947368425,494.0
International Law In Action: Investigating and Prosecuting International Crimes,Universiteit Leiden,international-law-in-action-2,,
Global Financial Markets and Instruments,Rice University,global-financial-markets-instruments,4.282868525896414,753.0
Write Your First Novel,Michigan State University,write-your-first-novel,3.9423076923076925,52.0
Développement psychologique de l'enfant,University of Geneva,enfant-developpement,4.964705882352941,255.0
Songwriting: Writing the Lyrics,Berklee College of Music,songwriting-lyrics,4.725,480.0
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,python-plotting,4.361575178997613,2514.0
Systems Thinking In Public Health,Johns Hopkins University,systems-thinking,4.39622641509434,318.0
Excel Skills for Business: Advanced,Macquarie University,excel-advanced,4.684210526315789,2394.0
Introduction to Neuroeconomics: How the Brain Makes Decisions,National Research University Higher School of Economics,neuroeconomics,4.629987908101572,827.0
Community Organizing for Social Justice,University of Michigan,community-organizing,4.166666666666667,54.0
Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Hebrew University of Jerusalem,nand2tetris2,4.956989247311828,279.0
The Global Financial Crisis,Yale University,global-financial-crisis,4.828985507246377,1035.0
Agile и Scrum в работе над проектами и продуктами,E-Learning Development Fund,upravleniya-proektami-agile-scrum,4.7272727272727275,132.0
Renewable Energy and Green Building Entrepreneurship,Duke University,renewable-energy-entrepreneurship,4.752203721841332,1021.0
The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",the-cycle,4.861111111111111,324.0
Privacy Law and Data Protection,University of Pennsylvania,privacy-law-data-protection,4.837209302325581,172.0
Building Modern Python Applications on AWS,Amazon Web Services,building-modern-python-applications-on-aws,5.0,3.0
Digital Business Models,Lund University,digital-business-models,4.587859424920127,313.0
"Everyday Excel, Part 2",University of Colorado Boulder,everyday-excel-part-2,4.95,120.0
Reliable Google Cloud Infrastructure: Design and Process,Google Cloud,cloud-infrastructure-design-process,4.699436443331246,1597.0
Introduction to Computer Programming,University of London,introduction-to-computer-programming,3.920289855072464,414.0
"Big Data Essentials: HDFS, MapReduce and Spark RDD",Yandex,big-data-essentials,3.424137931034483,290.0
Dermatology: Trip to skin,Novosibirsk State University ,dermatology,4.030769230769231,195.0
Sustainable Tourism – promoting environmental public health,University of Copenhagen,sustainable-tourism,4.577586206896552,696.0
Population Health During A Pandemic: Contact Tracing and Beyond,University of Houston,contact-tracing-for-covid-19,4.796610169491525,354.0
Social Impact Strategy: Tools for Entrepreneurs and Innovators,University of Pennsylvania,social-impact,4.850515463917525,582.0
C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",c-for-everyone,4.573684210526316,2280.0
Introduction to Structured Query Language (SQL),University of Michigan,intro-sql,4.773264052905055,2117.0
Social and Economic Networks:  Models and Analysis,Stanford University,social-economic-networks,1.0,6.0
The Truth About Cats and Dogs,The University of Edinburgh,cats-and-dogs,4.751269035532995,1182.0
Sports and Society,Duke University,sports-society,4.861702127659575,564.0
Fundamentals of Scalable Data Science,IBM,ds,4.012618296529968,951.0
Effective Compliance Programs,University of Pennsylvania,effective-compliance-programs,4.90566037735849,159.0
Transformation of the Global Food System,University of Copenhagen,transformation-global-food-system,4.830985915492958,213.0
Web Application Technologies and Django,University of Michigan,django-database-web-apps,4.787790697674419,344.0
Curanderismo: Traditional Healing Using Plants,University of New Mexico,curanderismo-plants,1.0,6.0
Applied Machine Learning in Python,University of Michigan,python-machine-learning,4.509554140127388,3297.0
Troubleshooting and Debugging Techniques,Google,troubleshooting-debugging-techniques,4.336842105263158,475.0
Introduction to C# Programming and Unity,University of Colorado System,introduction-programming-unity,4.665809768637532,1167.0
"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,correccion-estilo-variaciones,4.736413043478261,1104.0
Les Fondamentaux de la Négociation,ESSEC Business School,fondamentaux-negociation,4.863013698630137,219.0
Introduction to Clinical Data,Stanford University,introduction-clinical-data,,
The Science of Success: What Researchers Know that You Should Know,University of Michigan,success,4.847494553376906,1377.0
Finance for Non-Financial Managers,Emory University,finance-for-non-financial-managers,4.130434782608695,207.0
Getting Started With Music Theory,Michigan State University,music-theory,4.123711340206185,388.0
Digital Marketing Analytics in Practice,University of Illinois at Urbana-Champaign,digital-analytics,,
The Horse Course: Introduction to Basic Care and Management,University of Florida,horse-care,4.957364341085271,774.0
Verb Tenses and Passives,"University of California, Irvine",verb-passives,4.734756097560975,984.0
Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,gestion-organizaciones-efectivas,4.78356940509915,1765.0
Introduction to Big Data,University of California San Diego,big-data-introduction,4.58640081799591,5868.0
Rédaction de contrats,University of Geneva,contrats,4.843971631205674,423.0
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,The University of Edinburgh,philosophy-cognitive-sciences,4.682051282051282,585.0
Schizophrenia,Wesleyan University,schizophrenia,4.683836589698046,563.0
Ecology: Ecosystem Dynamics and Conservation,Howard Hughes Medical Institute ,ecology-conservation,4.831838565022421,1338.0
Introduction to Game Development,Michigan State University,game-development,4.764308855291577,3704.0
Practical Time Series Analysis,The State University of New York,practical-time-series-analysis,4.493523316062176,772.0
VLSI CAD Part I: Logic,University of Illinois at Urbana-Champaign,vlsi-cad-logic,4.720338983050848,118.0
Getting Started with Google Kubernetes Engine,Google Cloud,google-kubernetes-engine,4.245696400625978,1917.0
Exploring ​and ​Preparing ​your ​Data with BigQuery,Google Cloud,gcp-exploring-preparing-data-bigquery,4.4573170731707314,984.0
Six Sigma and the Organization (Advanced),University System of Georgia,six-sigma-organization-advanced,4.7,1170.0
Social Work Practice: Advocating Social Justice and Change,University of Michigan,social-work-practice-advocating-social-justice-and-change,4.8,15.0
Introduction to Machine Learning,Duke University,machine-learning-duke,4.681889763779528,635.0
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,wharton-launching-startup,4.752475247524752,606.0
Nanotechnology: A Maker’s Course,Duke University,nanotechnology,4.8341013824884795,1302.0
Creative Problem Solving,University of Minnesota,creative-problem-solving,4.5251846877098725,1489.0
"Sleep: Neurobiology, Medicine, and Society",University of Michigan,sleep,4.77,200.0
COVID-19: What You Need to Know (CME Eligible),Osmosis,covid-19-what-you-need-to-know,4.8482215585120825,3683.0
Classical Sociological Theory,University of Amsterdam,classical-sociological-theory,4.866666666666666,1395.0
Electric Industry Operations and Markets,Duke University,electricity,4.7792792792792795,444.0
Preparing for the Google Cloud Professional Cloud Architect Exam,Google Cloud,preparing-cloud-professional-cloud-architect-exam,4.46829268292683,410.0
Effective Business Presentations with Powerpoint,PwC,powerpoint-presentations,4.6381578947368425,456.0
More Introduction to Financial Accounting,University of Pennsylvania,wharton-financial-accounting,4.932584269662922,267.0
Cryptocurrency and Blockchain: An Introduction to Digital Currencies,University of Pennsylvania,wharton-cryptocurrency-blockchain-introduction-digital-currency,4.5,354.0
Dairy Production and Management,The Pennsylvania State University,dairy-production,,
Think Again I: How to Understand Arguments,Duke University,understanding-arguments,4.5813449023861175,1383.0
Developing Your Musicianship,Berklee College of Music,develop-your-musicianship,4.878688524590164,915.0
Introduction to Operations Management,University of Pennsylvania,wharton-operations,4.275462962962963,1296.0
The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,oralcavity,4.897058823529412,204.0
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,preparing-cloud-associate-cloud-engineer-exam,4.636363636363637,715.0
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,neuroscience-neuroimaging,4.610909090909091,825.0
European Business Law: Understanding the Fundamentals,Lund University,european-law-fundamentals,4.748201438848921,417.0
Teach English Now! Teaching Language Online,Arizona State University,teachlanguageonline,4.609756097560975,205.0
Front-End Web Development with React,The Hong Kong University of Science and Technology,front-end-react,4.6199756394640685,1642.0
Music Business Foundations,Berklee College of Music,music-business-foundations,4.869731800766283,1305.0
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,intro-business-analytics,4.646464646464646,297.0
Security & Safety Challenges in a Globalized World,Universiteit Leiden,security-safety-globalized-world,,
Machine Learning Foundations: A Case Study Approach,University of Washington,ml-foundations,4.499247554552295,7974.0
Accounting Analytics,University of Pennsylvania,accounting-analytics,4.426991150442478,1356.0
Strategic Business Management - Microeconomics,"University of California, Irvine",strategic-business-management-microeconomics,4.7875,80.0
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,epidemic-pandemic-outbreak,4.744766505636071,1242.0
Roman Architecture,Yale University,roman-architecture,4.837606837606837,351.0
Research Data Management and Sharing,The University of Edinburgh,data-management,4.725806451612903,372.0
Introduction to Genomic Technologies,Johns Hopkins University,introduction-genomics,4.459694989106754,1377.0
Strategic Management,Copenhagen Business School,strategic-management,4.7806539509536785,2202.0
Cybersecurity Compliance Framework & System Administration,IBM,cybersecurity-compliance-framework-system-administration,4.4896265560165975,482.0
Legal Tech & Startups,IE Business School,legal-tech-startups,4.012195121951219,82.0
Introduction to Chemistry:  Reactions and Ratios,Duke University,intro-chemistry,4.833333333333333,414.0
The Science of Stem Cells,American Museum of Natural History,stem-cells,4.744827586206896,870.0
The Business of Product Management I,Advancing Women in Product,the-business-of-product-management-one,4.333333333333333,9.0
Positive Psychology: Resilience Skills,University of Pennsylvania,positive-psychology-resilience,4.905154639175258,1455.0
AI for Medical Prognosis,DeepLearning.AI,ai-for-medical-prognosis,4.698630136986301,219.0
Antibiotic Stewardship,Stanford University,antibiotic-stewardship,4.196261682242991,107.0
UX / UI: Fundamentos para o design de interface,Universidade de São Paulo,ux-ui-design-de-interface,4.341269841269841,378.0
EMT Foundations,University of Colorado System,emt-foundations,4.846938775510204,294.0
Industrial IoT on Google Cloud Platform,Google Cloud,iiot-google-cloud-platform,4.537340619307832,1647.0
"Penetration Testing, Incident Response and Forensics",IBM,ibm-penetration-testing-incident-response-forensics,4.493877551020408,245.0
Database Management Essentials,University of Colorado System,database-management,4.494865211810013,1558.0
Advertising and Society,Duke University,role-of-advertising,4.805369127516778,447.0
Everyday Chinese Medicine,The Chinese University of Hong Kong,everyday-chinese-medicine,4.702586206896552,464.0
Fundamentals of Machine Learning for Healthcare,Stanford University,fundamental-machine-learning-healthcare,4.833333333333333,18.0
New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",countering-terror-violent-extremism,4.84,75.0
Magic in the Middle Ages,Universitat de Barcelona,magic-middle-ages,4.5647517039922105,1027.0
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,challenging-forensic-science,4.787234042553192,141.0
Exploring Renewable Energy Schemes,University of Pennsylvania,exploring-renewable-energy,4.783333333333333,180.0
Paleontology: Theropod Dinosaurs and the Origin of Birds,University of Alberta,theropods-birds,4.897260273972603,876.0
Corporate Strategy,UCL School of Management,corporatestrategy,4.948275862068965,348.0
Getting Started with Essay Writing,"University of California, Irvine",getting-started-with-essay-writing,4.723888314374354,1934.0
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,actualizacion-manejo-diabetes-tipo-2,4.867052023121388,519.0
Mastering Final Cut Pro,LearnQuest,mastering-final-cut-pro,4.504587155963303,109.0
Removing Barriers to Change,University of Pennsylvania,removing-barriers-to-change,5.0,24.0
Tricky American English Pronunciation,"University of California, Irvine",tricky-american-english-pronunciation,4.718637992831542,1674.0
Managing an Agile Team,University of Virginia,uva-darden-agile-team-management,4.700704225352113,568.0
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,international-law-in-action,4.751412429378531,531.0
"Competencias Laborales: Perfiles, Evaluación y Capacitación.",Universidad de Chile,competencias-lab,4.516908212560386,207.0
Getting started with TensorFlow 2,Imperial College London,getting-started-with-tensor-flow2,4.944055944055944,143.0
Geopolitics of Europe,Sciences Po,geopolitics-europe,3.8382978723404255,235.0
Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,truthinourbones-osteoarchaeology-archaeology,4.713414634146342,328.0
Mathematics for Machine Learning: PCA,Imperial College London,pca-machine-learning,3.491108071135431,1462.0
Object Oriented Programming in Java,University of California San Diego,object-oriented-java,4.696917808219178,3504.0
Embedded Software and Hardware Architecture,University of Colorado Boulder,embedded-software-hardware,4.310344827586207,145.0
Memoir and Personal Essay: Managing Your Relationship with the Reader,Wesleyan University,memoir-reader-relationship,4.386363636363637,132.0
Математика и Python для анализа данных,Moscow Institute of Physics and Technology,mathematics-and-python,4.635852090032154,2488.0
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,aulaconstructivista,4.9118236472945895,1497.0
Hypothesis-Driven Development,University of Virginia,uva-darden-agile-testing,4.579470198675497,302.0
Accounting Data Analytics with Python,University of Illinois at Urbana-Champaign,accounting-data-analytics-python,3.5,24.0
Introduction to Molecular Spectroscopy,University of Manchester   ,spectroscopy,4.646840148698884,1076.0
Managing as a Coach,"University of California, Davis",managing-as-a-coach,4.783088235294118,816.0
The fundamentals of hotel distribution,ESSEC Business School,hotel-distribution,,
A Crash Course in Data Science,Johns Hopkins University,data-science-course,,
